VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,04/24/2018 06:19:19 PM,04/24/2018 06:39:53 PM,1,3.24,1,N,162,238,1,15,1,0.5,2.52,0,0.3,19.32
2,04/24/2018 06:44:19 PM,04/24/2018 06:59:04 PM,1,3.79,1,N,239,68,1,14.5,1,0.5,4.08,0,0.3,20.38
2,04/24/2018 06:23:31 PM,04/24/2018 06:24:51 PM,4,0.31,1,N,166,166,1,3.5,1,0.5,1,0,0.3,6.3
2,04/24/2018 06:26:33 PM,04/24/2018 06:35:59 PM,4,1.64,1,N,166,239,1,9,1,0.5,2.5,0,0.3,13.3
2,04/24/2018 06:38:21 PM,04/24/2018 06:43:55 PM,5,0.86,1,N,239,236,1,6,1,0.5,1.95,0,0.3,9.75
2,04/24/2018 06:50:29 PM,04/24/2018 06:59:41 PM,4,1.17,1,N,237,262,1,8,1,0.5,3.2,0,0.3,13
2,04/24/2018 06:41:28 PM,04/24/2018 07:23:18 PM,2,18.28,2,N,132,186,2,52,4.5,0.5,0,5.76,0.3,63.06
1,04/24/2018 06:58:37 PM,04/24/2018 07:06:27 PM,1,1.3,1,N,263,43,2,7,1,0.5,0,0,0.3,8.8
1,04/24/2018 06:41:48 PM,04/24/2018 06:43:03 PM,1,0.1,1,N,264,264,3,3,1,0.5,0,0,0.3,4.8
1,04/24/2018 06:48:13 PM,04/24/2018 06:56:32 PM,1,1,1,N,234,264,1,7,1,0.5,1,0,0.3,9.8
2,04/24/2018 05:55:45 PM,04/24/2018 06:22:58 PM,1,2.64,1,N,237,113,2,17,1,0.5,0,0,0.3,18.8
2,04/24/2018 06:26:24 PM,04/24/2018 06:32:54 PM,2,0.79,1,N,113,79,1,6,1,0.5,0,0,0.3,7.8
2,04/24/2018 06:34:19 PM,04/24/2018 07:00:04 PM,1,3.47,1,N,79,163,1,17.5,1,0.5,3.86,0,0.3,23.16
2,04/24/2018 06:25:07 PM,04/24/2018 06:33:53 PM,5,1.33,1,N,233,237,2,7.5,1,0.5,0,0,0.3,9.3
2,04/24/2018 06:45:05 PM,04/24/2018 07:11:51 PM,5,6.58,1,N,162,13,1,23.5,1,0.5,5.06,0,0.3,30.36
2,04/24/2018 06:02:29 PM,04/24/2018 06:06:02 PM,1,0.35,1,N,233,162,2,4,1,0.5,0,0,0.3,5.8
2,04/24/2018 06:07:41 PM,04/24/2018 06:23:48 PM,1,2.46,1,N,162,142,1,12.5,1,0.5,2.14,0,0.3,16.44
2,04/24/2018 06:25:30 PM,04/24/2018 06:36:10 PM,1,1.92,1,N,142,263,2,9.5,1,0.5,0,0,0.3,11.3
2,04/24/2018 06:03:10 PM,04/24/2018 06:20:57 PM,1,3.4,1,N,229,234,1,15,1,0.5,3.36,0,0.3,20.16
2,04/24/2018 06:21:52 PM,04/24/2018 06:27:05 PM,1,0.64,1,N,234,164,1,5.5,1,0.5,0,0,0.3,7.3
2,04/24/2018 06:30:51 PM,04/24/2018 06:50:55 PM,1,2.53,1,N,164,114,2,14,1,0.5,0,0,0.3,15.8
1,04/24/2018 06:57:46 PM,04/24/2018 07:20:36 PM,0,10.2,1,N,138,191,2,30.5,1,0.5,0,0,0.3,32.3
2,04/24/2018 06:11:07 PM,04/24/2018 06:18:20 PM,5,0.6,1,N,162,161,2,6,1,0.5,0,0,0.3,7.8
2,04/24/2018 06:23:06 PM,04/24/2018 06:40:43 PM,4,1.96,1,N,230,137,1,12,1,0.5,1.38,0,0.3,15.18
2,04/24/2018 06:48:00 PM,04/24/2018 07:00:46 PM,5,2.51,1,N,164,145,1,11,1,0.5,3.71,5.76,0.3,22.27
1,04/24/2018 06:51:46 PM,04/24/2018 06:58:10 PM,1,0.9,1,N,233,141,1,6,1,0.5,1.55,0,0.3,9.35
2,04/24/2018 06:08:38 PM,04/24/2018 06:12:26 PM,1,0.58,1,N,162,162,1,4.5,1,0.5,1.26,0,0.3,7.56
2,04/24/2018 06:13:47 PM,04/24/2018 06:23:55 PM,1,0.69,1,N,162,164,1,7.5,1,0.5,1.86,0,0.3,11.16
2,04/24/2018 06:25:25 PM,04/24/2018 06:49:04 PM,1,6.03,1,N,164,255,1,21.5,1,0.5,4.66,0,0.3,27.96
2,04/24/2018 06:47:39 PM,04/24/2018 06:59:57 PM,1,1.79,1,N,114,234,1,10,1,0.5,0.59,0,0.3,12.39
1,04/24/2018 06:09:17 PM,04/24/2018 06:22:10 PM,1,2.6,1,N,90,143,1,11.5,1,0.5,1,0,0.3,14.3
1,04/24/2018 06:26:07 PM,04/24/2018 06:29:32 PM,1,0.6,1,N,143,239,2,4.5,1,0.5,0,0,0.3,6.3
1,04/24/2018 06:09:24 PM,04/24/2018 06:34:59 PM,1,3.9,1,N,224,50,1,18.5,1,0.5,3,0,0.3,23.3
1,04/24/2018 06:37:43 PM,04/24/2018 06:45:09 PM,1,1.7,1,N,143,246,1,8,1,0.5,1.95,0,0.3,11.75
1,04/24/2018 06:52:21 PM,04/24/2018 07:02:16 PM,1,1.3,1,N,246,107,2,8,1,0.5,0,0,0.3,9.8
2,04/24/2018 06:02:49 PM,04/24/2018 07:01:58 PM,5,12.6,1,N,138,181,1,44.5,1,0.5,9.26,0,0.3,55.56
2,04/24/2018 06:08:37 PM,04/24/2018 06:14:44 PM,1,0.54,1,N,162,230,1,5.5,1,0.5,0.73,0,0.3,8.03
2,04/24/2018 06:15:23 PM,04/24/2018 06:51:53 PM,1,19.64,3,N,163,1,1,72,1,0,10,18.5,0.3,101.8
1,04/24/2018 06:47:49 PM,04/24/2018 07:38:53 PM,3,17.6,2,N,230,132,1,52,4.5,0.5,2,5.76,0.3,65.06
1,04/24/2018 06:11:10 PM,04/24/2018 06:24:06 PM,4,3.2,1,N,233,112,2,12,1,0.5,0,5.76,0.3,19.56
2,04/24/2018 06:14:13 PM,04/24/2018 06:23:07 PM,2,0.8,1,N,107,90,1,7,1,0.5,2.2,0,0.3,11
2,04/24/2018 06:26:26 PM,04/24/2018 06:37:10 PM,2,1.53,1,N,90,211,2,8.5,1,0.5,0,0,0.3,10.3
2,04/24/2018 06:44:26 PM,04/24/2018 07:32:16 PM,2,16.97,2,N,113,132,1,52,4.5,0.5,12.61,5.76,0.3,75.67
2,04/24/2018 06:21:08 PM,04/24/2018 06:30:25 PM,1,1,1,N,107,90,2,7.5,1,0.5,0,0,0.3,9.3
